Subject,Mutant,Failed TCs,Total Probes,Top Condition,Max Suspicion,Status,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
tcas,v40,123,6,c6,0.911,ACCEPTED,0.5051,0.6185,0.4708,0.611,0.6606,0.911,,,,,,,,,,,
tcas,v41,23,6,c6,0.9162,ACCEPTED,0.5048,0.6094,0.3119,0.6259,0.6475,0.9162,,,,,,,,,,,
tcas,v5,10,6,c6,0.8464,ACCEPTED,0.5047,0.5873,0.0,0.624,0.6281,0.8464,,,,,,,,,,,
tcas,v6,12,6,c6,0.9167,ACCEPTED,0.5047,0.6085,0.5684,0.5771,0.6462,0.9167,,,,,,,,,,,
tcas,v7,36,6,c6,0.9086,ACCEPTED,0.5048,0.6105,0.5055,0.5964,0.6491,0.9086,,,,,,,,,,,
tcas,v8,1,6,c4,0.6449,ACCEPTED,0.5047,0.6076,0.0,0.6449,0.6449,0.0,,,,,,,,,,,
tcas,v9,7,6,c4,0.6456,ACCEPTED,0.5047,0.6081,0.0,0.6456,0.6456,0.0,,,,,,,,,,,
totinfo,v1,158,2,c2,0.5764,ACCEPTED,0.5623,0.5764,,,,,,,,,,,,,,,
totinfo,v10,8,2,c2,0.564,ACCEPTED,0.5524,0.564,,,,,,,,,,,,,,,
totinfo,v11,199,2,c2,0.5807,ACCEPTED,0.5656,0.5807,,,,,,,,,,,,,,,
totinfo,v12,33,2,c2,0.5658,ACCEPTED,0.5538,0.5658,,,,,,,,,,,,,,,
totinfo,v13,128,2,c2,0.5736,ACCEPTED,0.56,0.5736,,,,,,,,,,,,,,,
totinfo,v14,1,2,c1,0.0,ACCEPTED,0.0,0.0,,,,,,,,,,,,,,,
totinfo,v15,199,2,c2,0.5807,ACCEPTED,0.5656,0.5807,,,,,,,,,,,,,,,
totinfo,v16,170,2,c2,0.5776,ACCEPTED,0.5632,0.5776,,,,,,,,,,,,,,,
totinfo,v17,44,2,c2,0.5666,ACCEPTED,0.5545,0.5666,,,,,,,,,,,,,,,
totinfo,v18,115,2,c2,0.5713,ACCEPTED,0.5591,0.5713,,,,,,,,,,,,,,,
totinfo,v19,72,2,c2,0.3813,ACCEPTED,0.3697,0.3813,,,,,,,,,,,,,,,
totinfo,v2,10,2,c2,0.5639,ACCEPTED,0.5522,0.5639,,,,,,,,,,,,,,,
